Postcode,Total,Males,Females,Occupied_Households,Number of connections, Average Speed/Mbps , Median Speed/Mbps , Maximum Speed/Mbps
MK443QJ,24,10,14,14,9,1.8,1.2,4.5
MK443QL,54,30,24,23,22,3,3.1,5.2
MK443QN,8,3,5,5,3,3.9,4,4.3
MK443QP,49,27,22,17,16,3.5,3.8,6
MK443QQ,24,11,13,13,8,2.9,3,4.2
MK443QR,12,6,6,4,4,2.2,2.6,2.8
MK443QS,23,11,12,9,9,3.1,3.4,4.4
MK443QT,5,2,3,3,5,3.7,3.4,5.1
MK443QU,6,3,3,3,1,N/A,N/A,N/A
MK443QW,38,12,26,16,13,2.8,2.4,5.1
MK443QX,20,9,11,9,9,2.8,2.8,4.5
MK443RA,43,22,21,17,19,6.1,6.8,8.1
MK443RB,19,11,8,6,7,5.8,5.4,8.1
MK443RD,60,26,34,28,27,4.8,5.1,8.1
MK443RE,43,22,21,14,12,3.2,3.5,5.1
MK443RF,37,17,20,19,11,5.7,6,7.6
MK443RG,43,21,22,18,14,3.4,3.5,5.7
MK443RH,31,13,18,15,11,3.7,3.4,6.1
MK443RJ,58,29,29,27,25,2.8,2.6,5.2
MK443RL,21,8,13,9,6,3.3,3.2,4.5
MK443RN,67,31,36,28,28,2.3,2.1,5.9
MK443RP,10,4,6,6,2,N/A,N/A,N/A
MK443RQ,28,14,14,12,11,3.6,3.2,6.6
MK443RR,12,7,5,5,4,3.8,3.7,4.3
MK443RS,18,10,8,9,6,2.2,2.3,2.8
MK443RU,9,5,4,3,2,N/A,N/A,N/A
MK443RW,9,5,4,5,0,N/A,N/A,N/A
